,City ID,City Name,Cloudiness,Wind Speed,Country,Temperature,Feels Like,Min Temp,Max Temp,Barometric Pressure,Humidity,Sea Level,Ground Level,Latitude,Longitude
59,1492566,Severo-Yeniseyskiy,97.0,236.0,RU,26.48,-35.64,-26.48,-26.48,1036.0,87.0,1036.0,966.0,-37.96748403077165,-171.4991046664063
60,6201424,Mataura,100.0,21.99,NZ,0.59,53.01,59.0,59.0,1016.0,90.0,,,-84.50924687438803,14.696896482358454
61,2110227,Butaritari,88.0,68.0,KI,8.24,82.35,82.4,82.4,1006.0,79.0,1006.0,1005.0,56.04281177097451,-59.74354115655143
62,3430863,Mar del Plata,0.0,340.0,AR,56.35,52.23,53.6,59.0,1015.0,54.0,,,,
63,3839307,Rawson,77.0,237.0,AR,70.48,53.31,70.48,70.48,1006.0,26.0,1006.0,1005.0,0.4132538182907268,-178.00461828449252
64,5924351,Clyde River,1.0,310.0,CA,0.22,-25.02,-2.2,-2.2,1016.0,77.0,,,-88.89762905414082,12.75834380368238
65,2404472,Koyima,88.0,223.0,SL,7.12,77.77,71.2,71.2,1011.0,93.0,1011.0,966.0,,
66,3697838,Contamana,67.0,24.0,PE,76.05,82.51,76.05,76.05,1009.0,84.0,1009.0,990.0,53.04225845329702,79.36587882142351
67,935215,Saint-Philippe,62.0,80.0,RE,69.51,71.24,66.0,75.2,1013.0,88.0,,,86.53311005495905,168.31738559739404
68,1576633,Lang Son,100.0,39.0,VN,46.04,37.67,46.04,46.04,1028.0,57.0,1028.0,992.0,60.603769942881314,93.6061179752399
69,3924679,Vilhena,33.0,355.0,BR,73.06,76.57,73.06,73.06,1010.0,72.0,1010.0,944.0,-30.84279805619726,-143.78224191683674
70,3421982,Maniitsoq,72.0,87.0,GL,25.79,14.13,25.79,25.79,1009.0,91.0,1009.0,1004.0,-30.729531375311886,-153.86053307865612
71,2121025,Srednekolymsk,100.0,268.0,RU,21.21,-32.04,-21.21,-21.21,1022.0,87.0,1022.0,1020.0,59.0424531066208,-99.50645785513025
72,1282256,Hithadhoo,6.0,271.0,MV,81.28,83.34,81.28,81.28,1011.0,72.0,1011.0,1011.0,-53.73704018239857,-10.954435938891123
73,6167817,Torbay,90.0,55.25,CA,30.45,5.99,28.99,32.0,983.0,63.0,,,-66.94904582445382,-24.199928039085933
74,2446796,Bilma,0.0,12.0,NE,60.39,52.07,60.39,60.39,1015.0,32.0,1015.0,973.0,-47.963515468829165,-60.25358401082114
75,1259385,Port Blair,100.0,44.0,IN,82.06,86.02,82.06,82.06,1013.0,79.0,1013.0,1013.0,-30.033997210726582,-119.9821982671964
76,2304548,Anloga,20.0,0.0,GH,0.77,84.74,77.0,77.0,1010.0,83.0,,,72.30065298508856,-66.23917579802547
77,2017155,Saskylakh,13.0,139.0,RU,32.26,-41.51,-32.26,-32.26,1022.0,83.0,1022.0,1021.0,-51.66519834558424,109.38754156876377
78,3466980,Caravelas,0.0,36.0,BR,73.22,78.89,73.22,73.22,1015.0,92.0,1015.0,1014.0,8.729182557654426,-10.804256496938649
79,2013942,Ust'-Karsk,30.0,202.0,RU,11.54,-19.98,-11.54,-11.54,1029.0,83.0,1029.0,975.0,,
80,57000,Hobyo,0.0,36.0,SO,76.33,73.96,76.33,76.33,1012.0,75.0,1012.0,1012.0,85.17009938494823,-170.75116426480113
81,2094342,Kavieng,89.0,69.0,PG,85.35,92.66,85.35,85.35,1007.0,68.0,1007.0,1006.0,-44.072768863617206,65.70239508282282
82,2240449,Luanda,75.0,190.0,AO,0.77,80.53,77.0,77.0,1009.0,78.0,,,21.641397957021667,106.72887495486998
83,2098329,Daru,44.0,358.0,PG,85.77,93.42,85.77,85.77,1005.0,75.0,1005.0,1004.0,-57.14285407974979,-20.591920149766935
84,2138555,Poum,15.0,148.0,NC,8.01,82.53,80.1,80.1,1008.0,72.0,1008.0,1008.0,-10.907046187398478,-58.76320672119891
85,6185377,Yellowknife,20.0,300.0,CA,3.62,-47.22,-36.4,-36.0,1012.0,65.0,,,-64.53645025125326,168.07452717583357
86,1513491,Yangi Marg`ilon,75.0,220.0,UZ,3.02,24.64,30.2,30.2,1033.0,86.0,,,,
87,4035715,Avarua,100.0,20.0,CK,8.42,89.94,84.2,84.2,1009.0,79.0,,,-59.12163413708808,-50.66004535806604
88,5855927,Hilo,90.0,60.0,US,73.11,74.84,69.01,78.8,1015.0,74.0,,,73.84666870436538,124.8297733332256
89,3414079,Olafsvik,100.0,48.0,IS,38.08,17.13,38.08,38.08,1003.0,84.0,1003.0,1000.0,0.6582856112796236,173.0104258317266
90,3471451,Arraial do Cabo,20.0,40.0,BR,7.52,78.76,75.2,75.2,1012.0,83.0,,,,
91,3419842,Sisimiut,4.0,91.0,GL,22.59,12.29,22.59,22.59,1009.0,89.0,1009.0,1009.0,-0.8019732926980083,74.02349061715486
92,2729907,Longyearbyen,0.0,130.0,SJ,0.05,-13.23,5.0,5.0,1027.0,60.0,,,-81.27108942775726,132.97091148670899
93,2112309,Katsuura,39.0,15.01,JP,47.73,38.23,46.0,50.0,1011.0,33.0,,,3.3921529391013223,-165.26617891518347
94,3883457,Lebu,0.0,181.0,CL,52.65,39.04,52.65,52.65,1019.0,77.0,1019.0,1009.0,40.703092359639186,-42.184994688558334
95,2630299,Hofn,100.0,28.0,IS,38.97,24.33,38.97,38.97,1002.0,91.0,1002.0,1002.0,18.885679060588416,13.820181217095694
96,2148398,Lemon Tree Passage,40.0,70.0,AU,84.29,83.71,78.01,91.0,1010.0,66.0,,,9.886697354955118,89.65420812801034
97,2313002,Matadi,100.0,234.0,CD,74.88,81.81,74.88,74.88,1010.0,90.0,1010.0,1009.0,77.70422411846971,-85.00335223078814
98,6144195,Senneterre,5.0,30.0,CA,0.22,-31.59,-22.0,-22.0,1030.0,82.0,,,2.5342077487558186,2.5913780621681326
99,1735106,George Town,20.0,50.0,MY,79.27,87.96,78.01,80.6,1011.0,88.0,,,,
100,4031574,Provideniya,90.0,20.0,RU,1.94,6.21,19.4,19.4,998.0,73.0,,,-21.166083953370048,-24.04370362639625
101,1214488,Meulaboh,100.0,101.0,ID,77.85,83.52,77.85,77.85,1013.0,79.0,1013.0,1012.0,52.905987722268776,118.51892135585604
102,1256598,Sheoganj,0.0,47.0,IN,52.56,49.55,52.56,52.56,1019.0,72.0,1019.0,987.0,5.17360549612404,49.44303006036296
103,2090021,Namatanai,30.0,40.0,PG,84.94,93.49,84.94,84.94,1007.0,73.0,1007.0,1001.0,-83.15719196723575,-143.05560643538462
104,2057087,Kupang,40.0,250.0,ID,8.42,90.57,84.2,84.2,1008.0,79.0,,,7.595427941512867,153.5603660718004
105,1267390,Kavaratti,0.0,50.0,IN,8.15,84.11,81.5,81.5,1011.0,64.0,1011.0,1010.0,35.22590131115513,150.74938165191168
106,1714733,Dingle,100.0,29.0,PH,82.15,85.69,82.15,82.15,1012.0,80.0,1012.0,1009.0,-9.55373810192549,10.234513631166493
107,6255012,Flinders,56.0,15.01,AU,78.51,83.34,73.99,82.0,1005.0,81.0,,,-12.641813053022275,144.0918804108503
108,1495626,Pangody,100.0,211.0,RU,6.25,-21.95,-6.25,-6.25,1021.0,89.0,1021.0,1015.0,83.034769982874,-148.81718220562425
109,2303611,Esim,77.0,201.0,GH,77.77,83.59,77.77,77.77,1010.0,89.0,1010.0,1008.0,,
110,1622318,Waingapu,100.0,234.0,ID,85.41,92.07,85.41,85.41,1009.0,67.0,1009.0,1004.0,69.99863034842636,-103.06799362915719
111,1266452,Methala,75.0,110.0,IN,0.77,84.42,77.0,77.0,1012.0,88.0,,,79.97869843792205,-97.34922071940754
112,2155415,New Norfolk,75.0,150.0,AU,56.28,47.32,54.0,59.0,1021.0,44.0,,,3.2617883182502823,-74.59105734202342
113,1850523,Tateyama,20.0,31.09,JP,48.96,35.69,46.4,50.0,1013.0,52.0,,,-33.671922652572206,-158.90531994515305
114,1160571,Khāsh,0.0,31.0,IR,35.92,29.03,35.92,35.92,1026.0,66.0,1026.0,864.0,,
115,2022572,Khatanga,1.0,57.0,RU,35.57,-44.28,-35.57,-35.57,1021.0,83.0,1021.0,1017.0,-59.29230863967018,-92.030967023587
116,2236967,Soyo,100.0,186.0,AO,76.42,81.37,76.42,76.42,1009.0,87.0,1009.0,1009.0,-54.39443151180332,-45.468381642846765
